Конец X	Конец Y	Конец Z	Начало X	Начало Y	Начало Z
105.7002	573.6782	0.0000	183.4014	573.6782	0.0000
105.7002	632.2781	0.0000	105.7002	573.6782	0.0000
183.4014	632.1077	0.0000	105.7002	632.2781	0.0000
183.4014	573.6782	0.0000	183.4014	632.1077	0.0000
251.2002	544.1331	0.0000	289.0047	538.3481	0.0000
289.0047	538.3481	0.0000	324.9837	529.2028	0.0000
324.9837	529.2028	0.0000	360.6687	516.3565	0.0000
391.2002	552.1782	0.0000	394.5010	552.1782	0.0000
391.2002	581.6782	0.0000	391.2002	552.1782	0.0000
394.5010	550.1782	0.0000	397.5010	550.1782	0.0000
394.5010	552.1782	0.0000	394.5010	550.1782	0.0000
394.5026	500.3212	0.0000	360.6687	516.3565	0.0000
397.5010	498.7047	0.0000	394.5026	500.3212	0.0000
397.5010	550.1782	0.0000	397.5010	498.7047	0.0000
505.0010	550.1782	0.0000	508.0010	550.1782	0.0000
505.0010	414.9147	0.0000	505.0010	550.1782	0.0000
507.9898	411.8472	0.0000	505.0010	414.9147	0.0000
508.0006	-412.4713	0.0000	539.6978	-376.9296	0.0000
508.0010	552.1782	0.0000	511.8018	552.1782	0.0000
508.0010	550.1782	0.0000	508.0010	552.1782	0.0000
511.8018	581.6782	0.0000	391.2002	581.6782	0.0000
511.8018	552.1782	0.0000	511.8018	581.6782	0.0000
539.6978	-376.9296	0.0000	575.4534	-328.5732	0.0000
542.4521	372.9069	0.0000	507.9898	411.8472	0.0000
573.6303	330.6619	0.0000	542.4530	372.9074	0.0000
575.4534	-328.5732	0.0000	601.1514	-286.0228	0.0000
601.0205	285.6195	0.0000	573.6303	330.6619	0.0000
601.1514	-286.0228	0.0000	623.8896	-239.8218	0.0000
623.8884	239.1782	0.0000	601.0205	285.6195	0.0000
623.8896	-239.8218	0.0000	624.5010	-239.8218	0.0000
624.5010	239.1782	0.0000	623.8896	239.1782	0.0000
624.5010	-239.8218	0.0000	630.0010	-226.9687	0.0000
630.0010	226.3250	0.0000	624.5010	239.1782	0.0000
630.0010	84.6782	0.0000	630.0010	226.3250	0.0000
630.0010	-226.9687	0.0000	630.0016	-85.3218	0.0000
630.0016	-85.3218	0.0000	652.9600	-85.3218	0.0000
652.9600	-85.3218	0.0000	656.9600	-80.3218	0.0000
652.9600	84.6782	0.0000	630.0010	84.6782	0.0000
656.9600	79.6782	0.0000	652.9600	84.6782	0.0000
656.9600	-80.3218	0.0000	668.9600	-80.3218	0.0000
668.9600	83.9782	0.0000	668.9600	79.6782	0.0000
668.9600	79.6782	0.0000	656.9600	79.6782	0.0000
668.9600	-80.3218	0.0000	668.9600	-83.9718	0.0000
668.9600	-83.9718	0.0000	693.9600	-84.6218	0.0000
693.9600	83.9782	0.0000	668.9600	83.9782	0.0000
693.9600	-84.6218	0.0000	693.9600	83.9782	0.0000
